Timestamp,Location,Noise_Level_dB,Noise_Level_Max_dB,Frequency_Hz,Duration_Minutes
2024-01-15 08:00:00,Site A - Residential Area,65.2,68.5,1000,15
2024-01-15 08:15:00,Site A - Residential Area,64.8,67.2,1000,15
2024-01-15 08:30:00,Site A - Residential Area,66.1,69.3,1000,15
2024-01-15 08:45:00,Site A - Residential Area,63.9,67.1,1000,15
2024-01-15 09:00:00,Site A - Residential Area,67.2,70.5,1000,15
2024-01-15 09:15:00,Site A - Residential Area,65.8,69.1,1000,15
2024-01-15 09:30:00,Site A - Residential Area,66.5,69.8,1000,15
2024-01-15 09:45:00,Site A - Residential Area,64.2,67.5,1000,15
2024-01-15 10:00:00,Site A - Residential Area,65.5,68.8,1000,15
2024-01-15 10:15:00,Site A - Residential Area,66.9,70.2,1000,15
2024-01-15 10:30:00,Site A - Residential Area,64.1,67.3,1000,15
2024-01-15 10:45:00,Site A - Residential Area,67.3,70.6,1000,15
2024-01-15 11:00:00,Site A - Residential Area,65.7,69.0,1000,15
2024-01-15 11:15:00,Site A - Residential Area,66.2,69.5,1000,15
2024-01-15 11:30:00,Site A - Residential Area,63.8,67.0,1000,15
2024-01-15 11:45:00,Site A - Residential Area,68.1,71.4,1000,15
2024-01-15 12:00:00,Site A - Residential Area,66.6,69.9,1000,15
2024-01-15 12:15:00,Site A - Residential Area,67.2,70.5,1000,15
2024-01-15 12:30:00,Site A - Residential Area,65.0,68.3,1000,15
2024-01-15 12:45:00,Site A - Residential Area,64.7,68.0,1000,15
2024-01-15 13:00:00,Site A - Residential Area,66.8,70.1,1000,15
2024-01-15 13:15:00,Site A - Residential Area,65.3,68.6,1000,15
2024-01-15 13:30:00,Site A - Residential Area,67.5,70.8,1000,15
2024-01-15 13:45:00,Site A - Residential Area,64.9,68.2,1000,15
2024-01-15 14:00:00,Site A - Residential Area,65.6,68.9,1000,15
2024-01-15 14:15:00,Site A - Residential Area,68.0,71.3,1000,15
2024-01-15 14:30:00,Site A - Residential Area,66.1,69.4,1000,15
2024-01-15 14:45:00,Site A - Residential Area,67.4,70.7,1000,15
2024-01-15 15:00:00,Site A - Residential Area,64.3,67.6,1000,15
2024-01-15 15:15:00,Site A - Residential Area,66.7,70.0,1000,15
2024-01-15 15:30:00,Site A - Residential Area,65.2,68.5,1000,15
2024-01-15 15:45:00,Site A - Residential Area,67.9,71.2,1000,15
2024-01-15 16:00:00,Site A - Residential Area,64.6,67.9,1000,15
2024-01-15 16:15:00,Site A - Residential Area,66.4,69.7,1000,15
2024-01-15 16:30:00,Site A - Residential Area,65.8,69.1,1000,15
2024-01-15 16:45:00,Site A - Residential Area,68.2,71.5,1000,15
2024-01-15 17:00:00,Site A - Residential Area,65.1,68.4,1000,15
2024-01-15 17:15:00,Site A - Residential Area,67.0,70.3,1000,15
2024-01-15 17:30:00,Site A - Residential Area,64.5,67.8,1000,15
2024-01-15 17:45:00,Site A - Residential Area,66.9,70.2,1000,15
